"HolderAddress","Balance","PendingBalanceUpdate"
"0x3417d592c72cff67aa9747664ca2a14dbf7fd32a","4.387647898","No"
"0x0bf9c3bb9d0031999f699400fe806ed33119e983","4.367246407","No"
"0xc45c2949d40a71176e75e1b4d4c2cd9d7cb73f74","4.299805368","No"
"0x4e204ab6caf61285e3d2bf8a62e2b7ca589db819","4.292269194","No"
"0x09255234cf347c72858150f1a629282ffb437545","4.141918646","No"
"0xf9cd6908b9c7b2c28a83999399d2c7d23b552920","4.132142287","No"
"0xe6c6cea9be18b61470c8bd2f55d7b40f2c89c7d8","4.075190239","No"
"0x1688a712393641f19661354e0d5f15630ebb976b","4.032784397","No"
"0xdc0dc535af3f112ee1b2ae911529cbf086d40fa6","3.998021228","No"
"0xba3c4be6c93b8c05dab57a73ebf2722e9516a8e4","3.945327291","No"
"0x2060cef87e2f83a8fe1093b5865444b90e34192d","3.934599993","No"
"0x4307c8a2840c1ac0027da6f8fbe4f9ef56b42b8d","3.923698963","No"
"0x505ca72b4b43a60f487d6d506a766d4c42bba0bb","3.828813697","No"
"0x855811f120c068d6e7f7a7906ee0d7fcb9603a53","3.76234745405584","No"
"0xb01cab9c792e8ae3fdaa19494695584603b317c4","3.779338942","No"
"0x6bc5c6b857a7d0b9628fc1d3776fa80878d1e85c","3.778215544","No"
"0x15adc46e9e13233a9cb33b4487289648697191f3","3.771466577","No"
"0x276ab26a0126b60f989b880c6a427ad93dc77a43","3.756990828","No"
"0xfd2031bcfea885aef4437d9aa8995417b0a7fa45","3.719835811","No"
"0x62fe831d85c8b1548997b6a36a95d69e4966d1a0","3.684151502","No"
"0x67d7f8007dc69f28e662b9c2f3398ada39f6e226","3.673706735","No"
"0xd3e04cb993e1b4cdeae224065e6eaccfd5c32714","3.665127519","No"
"0x3b29e7867f6e90c437891a52ccb73b87b91c0e0a","4.94239461101784","No"
"0x99bf3b218bee3aa3c8b90d727eb9057c4b224251","3.620775667","No"
"0x3b12b2f336f137c2f4e5d968bf78d5220deecd67","3.533965258","No"
"0xae493697fa97b632754ff7f0d905c282377ba1df","3.53298145","No"
"0x5a6eb85adae6aeb1a5f30d6d8739af0a2ca3b108","3.457218669","No"
"0x49526a6a01b8945600d42e78df63d96341179451","3.452742461","No"
"0x52728afe58ed2e3d47c40d16b3af9719aba833f3","3.385102454","No"
"0x47da8e15155c6605a7b89fc44733b70e733d34cf","3.381621262","No"
"0xfd7df04f13626ea13848a4ff208659adf29848fb","3.350483488","No"
"0x373e03c2b831c9fa21a141b108131344195f218d","3.31732689","No"
"0xd6f073f2cd09f4951449101989e2c34bd8053366","3.283569436","No"
"0x661f5b0386a460d4854284686b4029f25e5cf35b","3.238076461","No"
"0xb34306610e73faacdde1cb7173fc4a3fbdfa886b","3.227464055","No"
"0xb02e4b6f4d3be28d1d71ff66b8b5ee7097e089e1","3.198971771","No"
"0x650f3d79b086db44472cee9a6de67bf22a00a97e","3.195338427","No"
"0x02865f6835a33c9b58051d8562ae08fa147b58b2","2.190482974","No"
"0xe2158ad35d28689e802be0117da25c1b538272c1","3.177864224","No"
