"HolderAddress","Balance","PendingBalanceUpdate"
"0x156c21171d74157b60e4f2c588c935af1dc42195","0.000113459","No"
"0x161d9b5d6e3ed8d9c1d36a7caf971901c60b9222","0.000122888","No"
"0x16b5544033536865a7d1868a7a3a13710c42f489","0.000218736","No"
"0x1759911d6e490c14357bb79a1392379f60a90798","0.000259045","No"
"0x17ca2297a3d9e95e9301171d93c54ba7a19f189e","0.020478715","No"
"0x17e8452cc16e4230709c7585f0684cd804bd6fda","2.2552E-05","No"
"0x1818276d175581ee170e3cc3165a353028b63be7","3.9614E-05","No"
"0x1899f27ad294de5b57f900f97b5f3b7e3ff42029","5.3637E-05","No"
"0x18a58d9af2183eba8bda1cf773c30de43c44629c","0.130123762","No"
"0x1943793ded0901a7dcfa26829155f769077db89a","0.007632238","No"
"0x194a3d77e00b693b7ef36b0c2d2404e938721331","2.5527E-05","No"
"0x1a9124ae6642549d462c5f123f325fb3f9c4af6f","7.827E-06","No"
"0x1ac06945c86f5e78f887753f559923610ccabef9","0.332643014","No"
"0x1af60391deb97ca4bd7129dc6c27334c0aa227c5","2.121498069","No"
"0x1b4ecfed6cbdfd69ee111ba20fbb9ca7820885ee","2.5102E-05","No"
"0x1bb6852fdb4ef7bd2e94ec210d24e184619d78fc","1.0455E-05","No"
"0x1bc1ba41156c4b2cf194d3006ba59bd142c2b55b","5315534.3356802","No"
"0x1c0f634d30acefbf745f9c2c6ee98d7d3b60f99d","0.15722161","No"
"0x1c10581326432cb10d4e37c14e18cd4ef41f7c6d","5.4144E-05","No"
"0x1c35ce1c25fc921bf012d576cd55f926cc5e0e2e","0.000184935","No"
"0x1ccba64022a0556039fc94379e2104e4c99b4de6","0.027859418","No"
"0x1d451532fb9d1cca9587203afceeff34ad48cf54","3.5398E-05","No"
"0x1d491fd71d4ba6110feae5bbc33e137a1787a6b0","0.022755375","No"
"0x1d4c66421af088d77e37c3635861c70ddfbe5680","1.0592E-05","No"
"0x1de068b2996697610bbb05592d5390fe4e268552","5.2321E-05","No"
"0x1ea6e209f825a09ae4e21bf9b79f4316d6688c26","8.81E-06","No"
"0x1ea8fe374b50b9e825616733118bc0edaaba4672","3.163E-05","No"
"0x1f62c936c4932e3b6a37f3f64fead333e222e870","0.06216278","No"
"0x1f7254edb58e8bc76d624d5fb21cdb333dab484d","0.150762377","No"
"0x204699c581f00b781759591ec3163a6ce79d8edc","0.000231528","No"
"0x20547ef585371a71c73b526650d5a72e74daa298","2.3323E-05","No"
"0x206cad6f981c0df2889183f79ab5f84a3d3da5bb","8.97E-06","No"
